player_id,player_name,game_dt,epm,oepm,depm
1628978,Donte DiVincenzo,2022-04-10,-1.13501,-0.988845,-0.146169
1628981,Bruno Fernando,2022-04-10,-3.67849,-3.05642,-0.622064
1628982,Melvin Frazier Jr.,2022-04-10,-3.73869,-3.17484,-0.563848
1628983,Shai Gilgeous-Alexander,2022-04-10,1.63978,2.57208,-0.932291
1628984,Devonte' Graham,2022-04-10,-0.128588,0.646859,-0.775447
1628988,Aaron Holiday,2022-04-10,-1.85278,-1.48903,-0.363746
1628989,Kevin Huerter,2022-04-10,-0.124718,0.0874245,-0.212143
1628991,Jaren Jackson Jr.,2022-04-10,2.43304,1.1223,1.31074
1628995,Kevin Knox II,2022-04-10,-4.10709,-2.55648,-1.55061
1628997,Caleb Martin,2022-04-10,-0.345812,-1.19148,0.845663
1628998,Cody Martin,2022-04-10,-1.61213,-1.34506,-0.267067
1629001,De'Anthony Melton,2022-04-10,1.50766,-0.273294,1.78096
1629002,Chimezie Metu,2022-04-10,-2.79272,-2.42817,-0.364549
1629003,Shake Milton,2022-04-10,-2.38907,-1.42731,-0.96176
1629004,Svi Mykhailiuk,2022-04-10,-2.95728,-1.83024,-1.12704
1629006,Josh Okogie,2022-04-10,-1.65216,-2.77841,1.12625
1629008,Michael Porter Jr.,2022-04-10,2.07176,1.6882,0.383558
1629011,Mitchell Robinson,2022-04-10,0.428878,-0.342604,0.771483
1629012,Collin Sexton,2022-04-10,-1.56124,0.142467,-1.70371
1629013,Landry Shamet,2022-04-10,-0.479341,-0.463158,-0.0161831
1629014,Anfernee Simons,2022-04-10,0.543864,2.3451,-1.80124
1629018,Gary Trent Jr.,2022-04-10,0.568745,1.07207,-0.503329
1629020,Jarred Vanderbilt,2022-04-10,1.14849,-0.574746,1.72324
1629021,Moritz Wagner,2022-04-10,-0.1244,0.552449,-0.676849
1629022,Lonnie Walker IV,2022-04-10,-2.21547,-0.709244,-1.50622
1629023,P.J. Washington,2022-04-10,-0.182337,-0.275219,0.092882
1629026,Kenrich Williams,2022-04-10,-0.417028,-1.55529,1.13826
1629027,Trae Young,2022-04-10,4.15947,5.84793,-1.68846
1629028,Deandre Ayton,2022-04-10,2.87136,1.23065,1.6407
1629029,Luka Doncic,2022-04-10,4.69039,5.05456,-0.364174
1629033,Theo Pinson,2022-04-10,-2.19533,-2.35341,0.158079
1629035,Carsen Edwards,2022-04-10,-1.86584,-1.77262,-0.0932219
1629048,Goga Bitadze,2022-04-10,0.236539,1.06692,-0.830379
1629052,Oshae Brissett,2022-04-10,-0.87549,0.420913,-1.2964
1629056,Terence Davis,2022-04-10,0.448243,1.03316,-0.584919
1629057,Robert Williams III,2022-04-10,2.58987,0.656476,1.93339
1629060,Rui Hachimura,2022-04-10,-2.1773,-1.00222,-1.17508
1629067,Isaac Bonga,2022-04-10,-3.16672,-3.71794,0.551216
1629076,Tyler Cook,2022-04-10,-3.0784,-2.63971,-0.438686
1629083,Arnoldas Kulboka,2022-04-10,-2.59207,-2.29156,-0.300504
1629109,Gary Clark,2022-04-10,-2.71683,-2.03749,-0.679345
1629111,Jock Landale,2022-04-10,-1.42972,-0.489736,-0.939984
1629117,Wenyen Gabriel,2022-04-10,-1.74357,-1.17847,-0.565105
1629130,Duncan Robinson,2022-04-10,0.991274,1.39349,-0.402212
1629134,Kendrick Nunn,2022-04-10,-1.10483,-0.419494,-0.68534
1629139,Yuta Watanabe,2022-04-10,-1.87976,-1.89241,0.0126494
1629162,Jordan McLaughlin,2022-04-10,-0.860602,-1.24119,0.380587
1629164,Brandon Goodwin,2022-04-10,-2.7397,-1.8401,-0.899593
1629185,Chris Chiozza,2022-04-10,-2.31812,-2.42114,0.103026
1629216,Gabe Vincent,2022-04-10,-0.536475,-1.20094,0.664465
1629234,Drew Eubanks,2022-04-10,-2.70209,-1.23025,-1.47184
1629308,Juan Toscano-Anderson,2022-04-10,-1.00933,-1.77423,0.764896
1629312,Haywood Highsmith,2022-04-10,-3.7166,-3.24049,-0.47611
1629599,Amir Coffey,2022-04-10,-0.799749,-0.358412,-0.441337
1629604,CJ Elleby,2022-04-10,-3.79429,-2.52842,-1.26587
1629607,Jared Harper,2022-04-10,-1.69608,-1.30422,-0.391853
1629611,Terance Mann,2022-04-10,0.50978,-0.0235954,0.533375
1629617,Reggie Perry,2022-04-10,-2.98876,-1.92204,-1.06672
1629619,Myles Powell,2022-04-10,-3.43724,-2.77232,-0.664915
1629622,Max Strus,2022-04-10,0.253848,1.053,-0.799157
1629623,Lindell Wigginton,2022-04-10,-3.22475,-2.27882,-0.945931
1629626,Bol Bol,2022-04-10,-4.72552,-3.32804,-1.39748
1629627,Zion Williamson,2022-04-10,2.36872,2.79098,-0.422261
1629628,RJ Barrett,2022-04-10,0.0613019,0.118301,-0.0569987
1629629,Cam Reddish,2022-04-10,-3.74969,-2.47589,-1.27381
1629630,Ja Morant,2022-04-10,2.40871,3.66261,-1.2539
1629631,De'Andre Hunter,2022-04-10,-1.51816,-1.42187,-0.0962903
1629632,Coby White,2022-04-10,-1.19241,0.1334,-1.32581
1629633,Jarrett Culver,2022-04-10,-3.11505,-3.34718,0.232128
1629634,Brandon Clarke,2022-04-10,0.917144,0.268848,0.648296
1629636,Darius Garland,2022-04-10,2.91128,2.98732,-0.0760425
1629637,Jaxson Hayes,2022-04-10,0.491984,0.251542,0.240441
1629638,Nickeil Alexander-Walker,2022-04-10,-2.33113,-1.41344,-0.917694
1629639,Tyler Herro,2022-04-10,0.168881,0.714772,-0.545891
1629640,Keldon Johnson,2022-04-10,0.822884,1.56867,-0.74579
1629641,Romeo Langford,2022-04-10,-2.62985,-3.36457,0.734722
1629642,Nassir Little,2022-04-10,-1.00405,-0.10468,-0.899375
1629643,Chuma Okeke,2022-04-10,-1.73746,-2.64929,0.911827
1629645,Kevin Porter Jr.,2022-04-10,-1.00755,0.23502,-1.24257
1629646,Charles Bassey,2022-04-10,-2.68752,-2.18455,-0.502968
1629647,Darius Bazley,2022-04-10,-3.30023,-2.64454,-0.655691
1629649,Ignas Brazdeikis,2022-04-10,-3.78912,-2.05478,-1.73435
1629650,Moses Brown,2022-04-10,-1.41901,-1.59048,0.171471
