NBA ID,Player Name,Position,Age,DPM,Offensive DPM,Defensive DPM,Box Only O-DPM,Box Only D-DPM,On Off O-DPM,On Off D-DPM
1641810,Antonio Reeves,sg_pos,23.5,-1.05,-0.53,-0.52,-0.62,-0.66,0.09,0.05
1627827,Dorian Finney-Smith,sf_pos,33.1,-1.06,-1.9,0.84,-1.77,0,-1.94,0.98
1641718,Keyonte George,pg_pos,22.6,-1.07,0.87,-1.94,1.11,-1.61,0.66,-2.1
1642530,Yuki Kawamura,pg_pos,25.1,-1.07,-0.81,-0.26,-0.86,-0.27,-0.06,-0.24
1642273,Kyshawn George,sg_pos,22.5,-1.08,-0.94,-0.14,-0.9,0.35,-1.01,-0.57
1629060,Rui Hachimura,sf_pos,28.3,-1.08,-0.44,-0.64,-0.44,-1.43,-0.45,-0.46
1642920,Kobe Sanders,sg_pos,23.9,-1.09,-0.89,-0.2,-0.79,-0.02,-1.26,-0.61
1642850,Thomas Sorber,c_pos,20.4,-1.09,-1.02,-0.07,-1.02,-0.07,-1.52,-0.59
1641731,Bilal Coulibaly,sg_pos,21.9,-1.1,-1,-0.1,-0.91,1.19,-1.08,-0.81
203083,Andre Drummond,c_pos,32.8,-1.1,-2.45,1.34,-1.14,2.84,-2.7,1.17
203648,Thanasis Antetokounmpo,c_pos,33.7,-1.12,-2.64,1.52,-2.2,1.76,-3.87,1.13
201143,Al Horford,pf_pos,40.0,-1.13,-1.5,0.37,-0.46,0.01,-1.62,0.4
1642461,Spencer Jones,sf_pos,25.0,-1.14,-1.54,0.4,-1.44,0.98,-1.83,-0.61
1642933,Keshon Gilbert,sg_pos,22.8,-1.14,-1.92,0.78,-1.92,0.81,-2.07,-1.01
1642396,Blake Hinson,sf_pos,26.3,-1.15,0.05,-1.21,0.12,-1.31,-1.1,-0.12
1628988,Aaron Holiday,sg_pos,29.7,-1.17,-0.89,-0.28,-1.29,-0.74,-0.65,-0.12
1642877,Micah Peavy,sg_pos,24.7,-1.17,-1.57,0.4,-1.64,0.38,-1.18,0.46
1628396,Tony Bradley,c_pos,28.4,-1.17,-1.94,0.77,-2.36,0.4,-1.18,1.16
1642261,Dalton Knecht,sf_pos,25.1,-1.18,-0.09,-1.09,0.6,-1.03,-1.75,-1.17
1626156,D'Angelo Russell,pg_pos,30.3,-1.2,-0.8,-0.4,-0.77,-0.53,-0.8,-0.38
1642357,David Jones,sg_pos,24.5,-1.2,-0.96,-0.24,-0.95,-0.25,-1.14,-0.08
1630699,MarJon Beauchamp,sg_pos,25.6,-1.2,-0.79,-0.42,-0.81,-0.58,-0.7,-0.13
1630828,Alex Antetokounmpo,sf_pos,24.6,-1.21,-0.91,-0.3,-0.91,-0.3,-1.76,-0.46
1628963,Marvin Bagley III,pf_pos,27.2,-1.21,-1.14,-0.08,-1.11,-0.24,-1.15,-0.02
1629021,Moritz Wagner,pf_pos,29.1,-1.21,-0.51,-0.7,0.24,-1.04,-1.06,-0.56
1629656,Quentin Grimes,sg_pos,26.1,-1.21,-0.39,-0.82,-0.05,-0.71,-0.59,-0.86
202691,Klay Thompson,sg_pos,36.3,-1.22,-0.49,-0.74,1.05,-1.17,-0.7,-0.7
1628467,Maxi Kleber,pf_pos,34.3,-1.22,-2.69,1.47,-3.11,0.89,-2.51,1.62
1631108,Max Christie,sg_pos,23.3,-1.23,-0.26,-0.97,0.01,-1.63,-0.47,-0.65
1631250,Pete Nance,pf_pos,26.3,-1.24,-1.03,-0.21,-1.18,-0.47,-0.22,0.67
1630171,Isaac Okoro,sg_pos,25.4,-1.24,-0.65,-0.6,-0.57,-1,-0.68,-0.49
1627752,Taurean Prince,sg_pos,32.2,-1.25,-1.09,-0.16,0.05,-0.33,-1.43,-0.13
1642950,Lachlan Olbrich,c_pos,22.3,-1.25,-2.3,1.05,-2.35,1.07,-1.58,0.87
